ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,tunnel_type,action
1331903907.840000,CAZ2pG3tEWcozhPPzi,192.168.202.110,60807,192.168.27.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903932.830000,CZVmMe12RoVbuz74u5,192.168.202.110,43126,192.168.27.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903967.840000,CAZ2pG3tEWcozhPPzi,192.168.202.110,60807,192.168.27.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331903974.460000,CaAV5W3NRFhcBUqY8a,192.168.202.110,50625,192.168.27.152,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903979.820000,CKf4q51yEqO6jvaw66,192.168.202.110,44569,192.168.27.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331903992.830000,CZVmMe12RoVbuz74u5,192.168.202.110,43126,192.168.27.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331903994.530000,CzDdIoQIRZEAlIeo,192.168.202.110,42089,192.168.27.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904005.190000,Cqjvew4codCkXqKNSj,192.168.202.110,48846,192.168.27.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904034.460000,CaAV5W3NRFhcBUqY8a,192.168.202.110,50625,192.168.27.152,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904038.420000,C6rErQ2Y20pNHqG9Qj,192.168.202.110,40053,192.168.27.203,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904039.820000,CKf4q51yEqO6jvaw66,192.168.202.110,44569,192.168.27.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904054.530000,CzDdIoQIRZEAlIeo,192.168.202.110,42089,192.168.27.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904065.190000,Cqjvew4codCkXqKNSj,192.168.202.110,48846,192.168.27.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904098.420000,C6rErQ2Y20pNHqG9Qj,192.168.202.110,40053,192.168.27.203,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904249.810000,CI1VJJuoHQKFTaPvk,192.168.202.110,35756,192.168.27.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904309.810000,CI1VJJuoHQKFTaPvk,192.168.202.110,35756,192.168.27.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904422.830000,CI1MCf2cdQEvpSbef9,192.168.202.110,34431,192.168.27.101,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904482.830000,CI1MCf2cdQEvpSbef9,192.168.202.110,34431,192.168.27.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904645.850000,C90qsLTqkZopE0Sae,192.168.202.110,55676,192.168.27.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904658.950000,CzBjiH20Bzz3b4isGg,192.168.202.110,59352,192.168.27.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331904705.850000,C90qsLTqkZopE0Sae,192.168.202.110,55676,192.168.27.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331904718.950000,CzBjiH20Bzz3b4isGg,192.168.202.110,59352,192.168.27.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331908117.060000,CvW3wgqf0TJMbE7z2,192.168.202.110,53951,192.168.22.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331908172.650000,CvW3wgqf0TJMbE7z2,192.168.202.110,53951,192.168.22.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331908230.630000,CQhMSFcSqzGDVFjF4,192.168.202.110,39795,192.168.22.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331908290.630000,CQhMSFcSqzGDVFjF4,192.168.202.110,39795,192.168.22.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331908433.310000,CGorQs3fYfBWJb5aTl,192.168.202.110,38428,192.168.22.252,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331908467.160000,C9WcaG3IoihJeuHAtb,192.168.202.110,35777,192.168.22.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331908493.310000,CGorQs3fYfBWJb5aTl,192.168.202.110,38428,192.168.22.252,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331908526.290000,CSM9If3YPCCmkGoEIl,192.168.202.110,60395,192.168.22.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331908527.160000,C9WcaG3IoihJeuHAtb,192.168.202.110,35777,192.168.22.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331908586.290000,CSM9If3YPCCmkGoEIl,192.168.202.110,60395,192.168.22.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331908932.800000,CjD9CI35tFuhUhtKCd,192.168.202.110,40627,192.168.22.101,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331908992.800000,CjD9CI35tFuhUhtKCd,192.168.202.110,40627,192.168.22.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331909007.350000,CXTA1J19LFZGQ8st11,192.168.202.110,55541,192.168.22.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331909024.160000,CTPJQZ1svhzhYoRgH4,192.168.202.110,38151,192.168.22.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331909067.350000,CXTA1J19LFZGQ8st11,192.168.202.110,55541,192.168.22.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331909084.160000,CTPJQZ1svhzhYoRgH4,192.168.202.110,38151,192.168.22.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331916898.350000,Ck8Ry23yiy2HzUkD8a,192.168.202.110,40785,192.168.23.101,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331916918.210000,CfdR664xJsTzwQoXl1,192.168.202.110,47541,192.168.23.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331916927.290000,CzqqnC4ZTPjNGjigN3,192.168.202.110,57452,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331916958.350000,Ck8Ry23yiy2HzUkD8a,192.168.202.110,40785,192.168.23.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331916978.230000,CfdR664xJsTzwQoXl1,192.168.202.110,47541,192.168.23.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331916987.300000,CzqqnC4ZTPjNGjigN3,192.168.202.110,57452,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331917728.180000,CQ5KJz3PC76DbUDBXk,192.168.202.110,33326,192.168.23.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331917788.190000,CQ5KJz3PC76DbUDBXk,192.168.202.110,33326,192.168.23.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331918585.100000,CKTPfC1WFIb0F4OpHb,192.168.202.110,40526,192.168.229.101,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331918644.490000,CUkbFAW19L94xFeZ1,192.168.202.110,33563,192.168.229.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331918645.100000,CKTPfC1WFIb0F4OpHb,192.168.202.110,40526,192.168.229.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331918671.150000,CIL7QUoOcwlllBGs,192.168.202.110,34005,192.168.229.156,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331918704.490000,CUkbFAW19L94xFeZ1,192.168.202.110,33563,192.168.229.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331918726.200000,CVfNm12dVKTHxk6k6b,192.168.202.110,46995,192.168.229.153,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331918731.160000,CIL7QUoOcwlllBGs,192.168.202.110,34005,192.168.229.156,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331918786.200000,CVfNm12dVKTHxk6k6b,192.168.202.110,46995,192.168.229.153,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331918822.750000,CWxytI68WzdQ2pvo1,192.168.202.110,46015,192.168.229.251,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331918882.750000,CWxytI68WzdQ2pvo1,192.168.202.110,46015,192.168.229.251,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331918912.310000,Cj4gUl1Z3F9f5Zg37a,192.168.202.110,42815,192.168.229.252,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331918926.640000,Cj4gUl1Z3F9f5Zg37a,192.168.202.110,42815,192.168.229.252,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331918995.010000,CaFnN6P7nDtcdwdXb,192.168.202.110,58819,192.168.229.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331919055.010000,CaFnN6P7nDtcdwdXb,192.168.202.110,58819,192.168.229.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331921521.210000,CU0rpJ1ESgsKjTFDo1,192.168.202.110,45024,192.168.28.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331921581.210000,CU0rpJ1ESgsKjTFDo1,192.168.202.110,45024,192.168.28.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331921766.060000,CillqqlkTL93voyy6,192.168.202.110,34243,192.168.28.101,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331921807.130000,ChgkOy4EWhPFkYRSmk,192.168.202.110,42168,192.168.28.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331921826.060000,CillqqlkTL93voyy6,192.168.202.110,34243,192.168.28.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331921867.130000,ChgkOy4EWhPFkYRSmk,192.168.202.110,42168,192.168.28.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331921877.500000,CSaUB54rwExGGBhyuc,192.168.202.110,58244,192.168.28.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331921937.500000,CSaUB54rwExGGBhyuc,192.168.202.110,58244,192.168.28.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922022.650000,Cc8eK044JSxhcomm0b,192.168.202.110,50823,192.168.28.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922082.650000,Cc8eK044JSxhcomm0b,192.168.202.110,50823,192.168.28.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922310.480000,CZYuy9GYBjRp26o46,192.168.202.110,57542,192.168.21.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922336.720000,CsY5uB4wr2Rw0PF6Bf,192.168.202.110,36719,192.168.22.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922370.480000,CZYuy9GYBjRp26o46,192.168.202.110,57542,192.168.21.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922391.470000,CuvmIi43dUeJsew76e,192.168.202.110,34630,192.168.21.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922395.610000,CC8hUX2KtVln4wZYwk,192.168.202.110,33597,192.168.21.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922396.720000,CsY5uB4wr2Rw0PF6Bf,192.168.202.110,36719,192.168.22.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922398.580000,CE3nKM1JgQu2XpbX34,192.168.202.110,59971,192.168.22.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922406.210000,Cb3pUK2hfvWmALqoeb,192.168.202.110,53871,192.168.21.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922428.250000,CiSk5d2iDC2IhHXvF4,192.168.202.110,48103,192.168.22.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922442.340000,CNUypD1RWDw9stQ3d,192.168.202.110,52019,192.168.21.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922451.470000,CuvmIi43dUeJsew76e,192.168.202.110,34630,192.168.21.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922455.610000,CC8hUX2KtVln4wZYwk,192.168.202.110,33597,192.168.21.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922458.580000,CE3nKM1JgQu2XpbX34,192.168.202.110,59971,192.168.22.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922466.210000,Cb3pUK2hfvWmALqoeb,192.168.202.110,53871,192.168.21.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922488.250000,CiSk5d2iDC2IhHXvF4,192.168.202.110,48103,192.168.22.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922502.340000,CNUypD1RWDw9stQ3d,192.168.202.110,52019,192.168.21.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922509.840000,C8mtMB4w9clisgE2nj,192.168.202.110,60568,192.168.21.152,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922514.260000,CxSUvvQe52Ly4Lqz5,192.168.202.110,56808,192.168.22.152,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922526.380000,CmoEGJjrhnK9laES9,192.168.202.110,38618,192.168.22.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922562.240000,CccN2a2Mz4QjOB0qS4,192.168.202.110,51293,192.168.21.203,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922569.840000,C8mtMB4w9clisgE2nj,192.168.202.110,60568,192.168.21.152,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922570.710000,C6ewG14ttgmu8mBgOc,192.168.202.110,59896,192.168.22.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922574.260000,CxSUvvQe52Ly4Lqz5,192.168.202.110,56808,192.168.22.152,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922580.240000,CW6cCe2MstjMKv7Ss9,192.168.202.110,50638,192.168.22.203,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922586.380000,CmoEGJjrhnK9laES9,192.168.202.110,38618,192.168.22.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922622.240000,CccN2a2Mz4QjOB0qS4,192.168.202.110,51293,192.168.21.203,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922630.710000,C6ewG14ttgmu8mBgOc,192.168.202.110,59896,192.168.22.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922630.840000,CvHsXM3hsnF9NeOl0b,192.168.202.110,54053,192.168.21.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922640.240000,CW6cCe2MstjMKv7Ss9,192.168.202.110,50638,192.168.22.203,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922647.690000,CARRDz1VT0l8RJ9xD5,192.168.202.110,44781,192.168.22.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922651.800000,CJaZuU1tM6eQkVi2q4,192.168.202.110,53305,192.168.21.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922690.840000,CvHsXM3hsnF9NeOl0b,192.168.202.110,54053,192.168.21.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922707.690000,CARRDz1VT0l8RJ9xD5,192.168.202.110,44781,192.168.22.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922711.800000,CJaZuU1tM6eQkVi2q4,192.168.202.110,53305,192.168.21.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922739.310000,CIQ0r23CPW3PlVCOzc,192.168.202.110,54544,192.168.22.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922743.530000,CWGO3U1zyu3n6TaMU6,192.168.202.110,51683,192.168.21.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922796.270000,Ca1ROjBbJLnlUqkg3,192.168.202.110,48508,192.168.28.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922799.310000,CIQ0r23CPW3PlVCOzc,192.168.202.110,54544,192.168.22.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922803.530000,CWGO3U1zyu3n6TaMU6,192.168.202.110,51683,192.168.21.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922856.270000,Ca1ROjBbJLnlUqkg3,192.168.202.110,48508,192.168.28.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331922867.520000,COCYvg3tuxKtYdHbp6,192.168.202.110,55944,192.168.28.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331922927.520000,COCYvg3tuxKtYdHbp6,192.168.202.110,55944,192.168.28.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923029.900000,C02rTW28gkW2787yC,192.168.202.110,56728,192.168.23.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923089.900000,C02rTW28gkW2787yC,192.168.202.110,56728,192.168.23.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923092.060000,CU6UzV2woqPdd2Nste,192.168.202.110,35021,192.168.23.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923152.060000,CU6UzV2woqPdd2Nste,192.168.202.110,35021,192.168.23.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923182.840000,CxbXsTmg2JmXcpA68,192.168.202.110,55033,192.168.23.101,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923212.500000,CW1XhM315X2obC5vOd,192.168.202.110,58092,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923212.510000,CEbQTA1VNJyVZGohh8,192.168.202.110,49938,192.168.23.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923217.530000,CZ7TKTE8Jns8fxgM,192.168.202.110,54288,192.168.23.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923242.840000,CxbXsTmg2JmXcpA68,192.168.202.110,55033,192.168.23.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923272.500000,CW1XhM315X2obC5vOd,192.168.202.110,58092,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923272.510000,CEbQTA1VNJyVZGohh8,192.168.202.110,49938,192.168.23.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923277.530000,CZ7TKTE8Jns8fxgM,192.168.202.110,54288,192.168.23.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923295.480000,Cu88zT255GcXastIP8,192.168.202.110,60546,192.168.23.152,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923355.480000,Cu88zT255GcXastIP8,192.168.202.110,60546,192.168.23.152,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923383.440000,C23SsA1Fe92p5dULYe,192.168.202.110,45976,192.168.23.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923383.470000,C2MvoF28avqA6d9eke,192.168.202.110,41273,192.168.23.203,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923396.500000,CHxjM01PlpuOw5Jjhk,192.168.202.110,36205,192.168.23.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923443.440000,C23SsA1Fe92p5dULYe,192.168.202.110,45976,192.168.23.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923443.470000,C2MvoF28avqA6d9eke,192.168.202.110,41273,192.168.23.203,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923456.500000,CHxjM01PlpuOw5Jjhk,192.168.202.110,36205,192.168.23.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923492.680000,CCWQle4C3JIUfrSiTh,192.168.202.110,44601,192.168.23.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923552.680000,CCWQle4C3JIUfrSiTh,192.168.202.110,44601,192.168.23.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331998958.500000,Cvykcj2KWtHnyaiQc1,192.168.202.140,59445,192.168.21.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999018.500000,Cvykcj2KWtHnyaiQc1,192.168.202.140,59445,192.168.21.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999019.760000,CrE0lHoJeZ8OqTYo7,192.168.202.140,54310,192.168.21.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999043.550000,Cefrhe2DHdoGyfstQ,192.168.202.140,54063,192.168.21.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999059.520000,CKWN7J4TKxz9OVKw7,192.168.202.140,48731,192.168.21.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
